"x","y","berth_pm25"
548325.002897554,181895.001061737,0.0415733275408654
548345.002897554,181885.001061737,0.0277155516939103
548775.002897554,181815.001061737,0.0554311033878205
548775.002897554,181805.001061737,3.72774170283093
548785.002897554,181805.001061737,0.637457688959936
548625.002897554,181795.001061737,0.831466550817308
548635.002897554,181795.001061737,0.0415733275408654
548775.002897554,181795.001061737,1.0809065160625
548785.002897554,181795.001061737,0.0692888792347756
548795.002897554,181795.001061737,0.0277155516939103
548625.002897554,181785.001061737,3.83860390960657
548635.002897554,181785.001061737,5.77869252818029
548785.002897554,181785.001061737,0.0554311033878205
548795.002897554,181785.001061737,0.665173240653846
548635.002897554,181775.001061737,0.207866637704327
548795.002897554,181775.001061737,0.0415733275408654
548805.002897554,181775.001061737,0.0692888792347756
548645.002897554,181765.001061737,0.0277155516939103
548815.002897554,181765.001061737,0.0415733275408654
548655.002897554,181755.001061737,0.0277155516939103
549105.002897554,181545.001061737,0.292346367522677
549115.002897554,181545.001061737,7.74717873935095
549125.002897554,181545.001061737,3.14272345086878
549105.002897554,181535.001061737,11.5476815171458
549115.002897554,181535.001061737,19.9526395834227
549125.002897554,181535.001061737,83.757234295247
549135.002897554,181535.001061737,15.5674440705826
549105.002897554,181525.001061737,0.438519551284016
549115.002897554,181525.001061737,0.146173183761339
549125.002897554,181525.001061737,0.365432959403347
549135.002897554,181525.001061737,1.24247206197138
549125.002897554,181515.001061737,0.0730865918806693
549475.002897554,181405.001061737,0.146173183761339
549485.002897554,181405.001061737,11.6207681090264
549475.002897554,181395.001061737,0.365432959403347
549485.002897554,181395.001061737,9.42817035260634
549495.002897554,181395.001061737,0.146173183761339
549705.002897554,180905.001061737,0.0105308599285714
549715.002897554,180905.001061737,0.0105308599285714
549695.002897554,180895.001061737,0.0315925797857143
549705.002897554,180895.001061737,0.0210617198571429
549715.002897554,180895.001061737,0.0842468794285714
549725.002897554,180895.001061737,0.168493758857143
549695.002897554,180885.001061737,0.0631851595714286
549705.002897554,180885.001061737,0.0105308599285714
549685.002897554,180875.001061737,0.0210617198571429
549705.002897554,180875.001061737,0.0210617198571429
532475.002897554,180655.001061737,1.5020176176
532485.002897554,180655.001061737,1.5020176176
532495.002897554,180655.001061737,1.0013450784
532505.002897554,180655.001061737,1.0013450784
