pollutant,group,large_grid_id,sailing_emissions,berth_emissions
NOx,2,10601,6516.7,2565.9700000000003
NOx,2,10739,0.36,0.58
NOx,2,10740,0.02,0
NOx,2,10741,4.52,0.24
NOx,2,10742,7.22,0
NOx,2,10768,0.25,0
NOx,2,10769,0.42,0.01
NOx,2,10929,0,0
NOx,3,9557,1016.01,1487.8300000000002
NOx,3,9559,46.5,18.3
NOx,3,9560,4.67,1.13
NOx,3,9728,178.69,0
NOx,3,9729,1642.32,1245.51
NOx,3,9730,868.84,31.88
NOx,3,9731,813.17,0
NOx,3,9732,1101.39,1426.97
NOx,3,9733,833.23,5.3
NOx,3,9734,164.5,0
NOx,3,9886,461.57,0
NOx,3,9887,472.26,38.11
NOx,3,9888,371.37,16.99
NOx,3,9889,2853.47,159.48000000000002
NOx,3,9890,68.81,0
NOx,3,9891,174.8,0.06
NOx,3,9892,211.69,0
NOx,3,9894,546.26,0
NOx,3,9895,679.2,470.37
NOx,3,9899,24.14,15.08
NOx,3,9900,841.92,3.28
NOx,3,9901,0.16,0
NOx,3,9905,23.57,0
NOx,3,9906,930.02,0
NOx,3,9907,185.36,0
NOx,3,10058,636.53,21.73
NOx,3,10062,89.75,1.83
NOx,3,10064,275.76000000000005,1.27
NOx,3,10066,1506.48,52.42
NOx,3,10067,167.35,0
NOx,3,10068,873.8900000000001,743.54
NOx,3,10069,600.51,359.8
NOx,3,10070,1599.05,10278.619999999999
NOx,3,10071,740.0900000000001,4.38
NOx,3,10072,143.33,0
NOx,3,10078,2015,3799.16
NOx,3,10079,972.4300000000001,3892.93
NOx,3,10229,353.22,0
NOx,3,10230,871.14,0
NOx,3,10236,132.42999999999998,0
NOx,3,10237,1565.65,16.02
NOx,3,10238,678.93,0
NOx,3,10251,890.23,5.14
NOx,3,10252,1078.51,0
NOx,3,10253,1132.6,0
NOx,3,10254,1115.42,0
NOx,3,10255,1.14,0
NOx,3,10256,4.62,0
NOx,3,10398,8.1,0
NOx,3,10399,27.02,0
NOx,3,10400,232.85,0.47
NOx,3,10401,335.41999999999996,29.26
NOx,3,10402,0.11,0
NOx,3,10409,291.72,5.43
NOx,3,10426,319.77,0
NOx,3,10427,1428.7,0
NOx,3,10428,95.74,0
NOx,3,10570,12.22,0
NOx,3,10599,95.64999999999999,0
NOx,3,10600,4191.83,1831.33
NOx,3,10601,817.75,107.13
NOx,3,10741,7.45,10.04
NOx,3,10742,8.67,0
NOx,3,10760,0.01,0
NOx,4,9376,0.64,0
NOx,4,9377,0.43,0
NOx,4,9547,1.39,0
NOx,4,9548,0.92,0
NOx,4,9549,3.89,0
NOx,4,9557,5.89,0.15
NOx,4,9569,0.04,0
NOx,4,9717,1.57,0
NOx,4,9718,0.13,0
NOx,4,9719,0.03,0
NOx,4,9720,11.96,0
NOx,4,9721,21.37,0
NOx,4,9728,57.22,0
NOx,4,9729,237.67000000000002,33.67
NOx,4,9730,219.09000000000003,0.18
NOx,4,9731,182.26,0
NOx,4,9732,2342.7400000000002,7392.04
NOx,4,9733,7721.6900000000005,9730.76
NOx,4,9734,262.12,0
NOx,4,9741,0.02,0
NOx,4,9886,38.42,0.28
NOx,4,9887,43.559999999999995,0.33
NOx,4,9888,36.22,0.64
NOx,4,9889,335.38,8202.109999999999
NOx,4,9890,98.81,5.49
NOx,4,9891,198.95999999999998,0
NOx,4,9892,789.74,0
NOx,4,9893,3236.04,1641.25
NOx,4,9894,126.69,0.33
NOx,4,9895,112.3,0.24000000000000002
NOx,4,9896,2.9499999999999997,29.07
NOx,4,9897,2.4,0
NOx,4,9898,1.71,0
NOx,4,9899,4.26,3.59
NOx,4,9900,258.58000000000004,0.9
NOx,4,9905,6.7,0.04
NOx,4,9906,1322.81,0.04
NOx,4,9907,346.14000000000004,0
NOx,4,10058,26.41,0.58
NOx,4,10062,93.98,4.08
NOx,4,10064,251.12,0.8200000000000001
NOx,4,10065,1821.3700000000001,1578.8899999999999
NOx,4,10066,314.86,223.57
NOx,4,10067,41.379999999999995,0
NOx,4,10068,167.4,10.21
NOx,4,10069,162.98,0.06
NOx,4,10070,194.13,251.74
NOx,4,10071,6191.85,351.27
NOx,4,10072,66.00999999999999,4.37
NOx,4,10078,420.46999999999997,1043.7
NOx,4,10079,1434.5,90.58
NOx,4,10081,0.08,0
NOx,4,10229,0,0
NOx,4,10230,1.07,0
NOx,4,10235,321.28,0
NOx,4,10236,102.72,0
NOx,4,10237,218.55,6332.38
NOx,4,10238,686.09,0.05
NOx,4,10240,0.17,0
NOx,4,10241,0.5,0
NOx,4,10242,0.1,0
NOx,4,10251,1085.32,27.5
NOx,4,10252,1303.19,0.43
NOx,4,10253,1328.1799999999998,0
NOx,4,10254,1431.04,1611.18
NOx,4,10255,9.7,257.34
NOx,4,10399,4.82,0
NOx,4,10400,0.17,0
NOx,4,10401,0.01,0
NOx,4,10408,34.09,0
NOx,4,10410,1.12,0
NOx,4,10415,0.07,0
NOx,4,10426,371.37,0
NOx,4,10427,3969.6,4567.01
NOx,4,10428,10366.91,29460.09
NOx,4,10582,0.34,0
NOx,4,10583,1.32,0
NOx,4,10599,163.04999999999998,0
NOx,4,10600,19166.88,20665.059999999998
NOx,4,10601,14492.35,59981.399999999994
NOx,4,10927,1.62,0
PM,1,9559,0.004835388,0
PM,1,9717,0.007889694,0
PM,1,9728,0.622868209,0
PM,1,9729,2.419195912,1.86332e-4
PM,1,9730,1.848251573,0
PM,1,9731,1.712094704,0
PM,1,9732,3.362179186,0
PM,1,9733,1.268026192,0
PM,1,9734,0.2744225,0
PM,1,9886,636.776578914,0.647447049
PM,1,9887,1044.933091312,0.24275965900000002
PM,1,9888,1609.2852739,4.9470884239999995
PM,1,9889,1190.31971453,38.416598723
PM,1,9890,91.82019429,0
PM,1,9891,459.07585344,0
PM,1,9892,505.78462590000004,0.089307078
PM,1,9893,4.11912e-4,0
PM,1,9894,560.476164296,0.098516144
PM,1,9895,301.900071046,11.628867835000001
PM,1,9899,0.068769013,0.031754062
PM,1,9900,3.416556223,2.13887e-4
PM,1,9901,0.001312775,0
PM,1,9905,0.030512175,0
PM,1,9906,1.5178725180000001,0
PM,1,9907,0.275822103,0
PM,1,10058,341.5772187,1.875543407
PM,1,10062,91.077934079,0
PM,1,10063,8.71415e-4,0
PM,1,10064,258.721789202,0.042574979
PM,1,10065,0.006392525,0.002138594
PM,1,10066,686.231779744,0.009513039
PM,1,10067,52.855372198,1.85372e-4
PM,1,10068,166.18591725,0
PM,1,10069,141.207352402,0
PM,1,10070,124.34160525,0.117429164
PM,1,10071,171.05373471000001,8.161536327
PM,1,10072,1.5640594090000002,0.083696936
PM,1,10078,0.093082312,0
PM,1,10079,1.208373993,0
PM,1,10081,1.45864e-4,0
PM,1,10229,41.04409849,0.054422414
PM,1,10230,504.776662577,0.269486466
PM,1,10236,131.465012062,0
PM,1,10237,312.64658779,8.24581e-4
PM,1,10238,323.745158722,0.005152138
PM,1,10251,1.040914793,0
PM,1,10252,1.294705656,0
PM,1,10253,1.288586483,0
PM,1,10254,1.162111648,0
PM,1,10255,0.011010227,0
PM,1,10398,0.164069869,0
PM,1,10399,2.344239984,0.008385917
PM,1,10400,3.4552059920000002,0
PM,1,10401,12.264529653,0
PM,1,10426,0.341623966,0
PM,1,10427,1.502599627,0
PM,1,10428,0.093120984,0
PM,1,10570,0.142548197,0
PM,1,10599,0.063115571,0
PM,1,10600,1.370138336,0
PM,1,10601,0.811195602,0
PM,1,10739,0.038841121,0.00614962
PM,1,10740,0.36796728599999995,0
PM,1,10741,0.06631271,0
PM,1,10742,0.670800415,0
PM,2,8871,0.0024895,0
PM,2,9043,8.25248e-4,0
PM,2,9044,5.50166e-4,0
PM,2,9204,6.89845e-5,0
PM,2,9205,0.001086578,0
PM,2,9209,0.002187256,0
PM,2,9216,0.001389168,0
PM,2,9377,0.018242549,0
PM,2,9381,4.76553e-4,0
PM,2,9382,5.1321e-4,0
PM,2,9383,0.004871627,0
PM,2,9384,0.028354035,0
PM,2,9388,8.25249e-4,0
PM,2,9389,6.73953e-4,0
PM,2,9550,0.084157537,3.05845e-4
PM,2,9554,0.001466317,0
PM,2,9556,0.049023694,0
PM,2,9557,0.17991200100000002,0.010300548999999999
PM,2,9559,0.153576305,0.298268199
PM,2,9560,0.019334356,0
PM,2,9561,0.001512956,0
PM,2,9717,2.33008e-4,0
PM,2,9722,0.19592678500000002,0
PM,2,9723,0.148601303,0
PM,2,9726,4.88772e-4,0
PM,2,9727,4.88772e-4,0
PM,2,9728,47.840432823,0
PM,2,9729,172.722147651,0.062016823
PM,2,9730,183.30653253,0.117903383
PM,2,9731,174.78815454600002,0
PM,2,9732,469.672663479,234.724167035
PM,2,9733,283.475130534,2.535189132
PM,2,9734,40.380669435,0
PM,2,9886,85.608791859,3.4913050639999996
PM,2,9887,70.261586427,2.581242261
PM,2,9888,76.33322251,0.376125925
PM,2,9889,135.566774001,2.5695583060000002
PM,2,9890,37.740183985,0.6798213630000001
PM,2,9891,135.041729075,0.114181964
PM,2,9892,113.883570214,0.0020769350000000002
PM,2,9893,0.629879413,0.206593008
PM,2,9894,97.087080116,0.027852757
PM,2,9895,74.95073865399999,0.64706723
PM,2,9896,2.556659647,0.9092416320000001
PM,2,9897,2.934692892,0.097711978
PM,2,9898,1.401552212,0
PM,2,9899,8.991727866,1.935114948
PM,2,9900,244.47714321,1.886540103
PM,2,9901,0.12489929799999999,0
PM,2,9905,24.288962026,0.46447520099999995
PM,2,9906,233.205821439,0.352342453
PM,2,9907,51.483216049999996,0.014727824
PM,2,10058,96.385035945,0.157048413
PM,2,10061,0.007912857,0
PM,2,10062,49.237697437,0.816476689
PM,2,10063,0.062597939,3.47528e-4
PM,2,10064,72.184302754,0.121100162
PM,2,10065,2.71837706,1.512731863
PM,2,10066,204.8002756,34.128029893000004
PM,2,10067,32.580573441,0.026794228
PM,2,10068,766.21950075,265.616830663
PM,2,10069,183.093446607,3.1845940919999998
PM,2,10070,179.51706713,0.218100517
PM,2,10071,212.380211662,6.468434962
PM,2,10072,47.737520154,0.024394215
PM,2,10078,74.156502344,45.64299173
PM,2,10079,215.482442723,6.04350918
PM,2,10081,0.0026502151999999997,0
PM,2,10229,11.318663351,4.20015e-4
PM,2,10230,66.456846035,0.014803529
PM,2,10236,33.277909574,2.62253e-4
PM,2,10237,94.884446733,1.487756901
PM,2,10238,98.01457053,0.10897700999999999
PM,2,10250,0.001058714,0
PM,2,10251,208.229779381,2.988142752
PM,2,10252,213.882680335,0.382540593
PM,2,10253,215.3668373,0
PM,2,10254,212.516353087,1.97818e-4
PM,2,10255,0.262517098,0
PM,2,10398,0.106875478,0
PM,2,10399,0.684697734,0.007422965
PM,2,10400,6.708448402,0.04690754899999999
PM,2,10401,12.595278511000002,0.016781197
PM,2,10409,0.064546821,0.0021410839999999997
PM,2,10424,0.104776412,0.004495599
PM,2,10425,0.007642983,0
PM,2,10426,57.2728561,0
