berth_name,x,y
RYL TERACE PIER,0.374650955,51.4455757
RUGBY CEMENT   ,0.137162879,51.5183563
SAVOY PIER     ,-0.119197369,51.5087814
SHEERNESS DOCKS,0.743154287,51.4458618
SHNESS DK NO 1 ,0.743438601,51.4439697
SHNESS DK NO 2 ,0.74275732,51.4422531
SHNESS DK NO 3 ,0.741775632,51.4408798
SHNESS DK NO 4 ,0.738578439,51.4367332
SHNESS DK NO 5 ,0.738229752,51.4361
SHNESS DK NO 10,0.745643377,51.4484444
SHNESS DK NO 11,0.743224025,51.445797
SHNESS GUNWHARF,0.743411779,51.4452782
SHELLHAVEN S   ,0.508903503,51.5050201
SOUTHEND PIER  ,0.722474754,51.5146637
CROSSNESS OUTFL,0.145668879,51.5091896
ST KATH'S PIER ,-0.07358104,51.5059891
ST KATHARINE DK,-0.072433263,51.5060081
OLD SUN WHARF  ,0.352820247,51.4459496
SWEDISH WHARF  ,-0.187900916,51.4659882
TAY WHARF      ,0.041650374,51.4998779
TEDDINGTON     ,-0.32068491,51.4298172
THAMES EURO LWR,0.268262118,51.4583015
THAMES EUROPORT,0.266740322,51.4588737
THAMES EURO UPP,0.265436947,51.4593887
TIL GRAIN TML  ,0.32999754,51.4638863
TGT - COASTER  ,0.329425246,51.4647293
TGT - INNER BTH,0.33070451,51.4638405
TGT - MAIN JTY ,0.32998538,51.4638519
THAMES WHF     ,0.010072039,51.5061951
THUNDERER JTY  ,0.140915707,51.5153923
TILDA JETTY    ,0.179137051,51.5008392
TILBURY RO RO  ,0.361692131,51.4505386
TIL LDNG STG   ,0.364572436,51.4505692
TOWER PIER     ,-0.079388022,51.5073738
TOWN PIER      ,0.371035337,51.4458389
THAMES PORT    ,0.68607688,51.4324341
TH REF. -INNER ,0.049368784,51.4988174
TH REF. -OUTER ,0.04718715,51.4983597
TRINITY BUOY WF,0.008261204,51.507431
TUNNEL PIER    ,-0.056838691,51.5030098
TOWER WHARF    ,0.326381922,51.4545021
TOWER WF- COVER,0.325190932,51.4545059
TOWER WF- INNER,0.326291084,51.453495
TOWER WF - MAIN,0.326197535,51.4544868
TOWER BDGE UPR ,-0.081404924,51.5068283
VICTORIA DEEP W,-0.001179675,51.496048
VICTORIA DP LWR,-7.61747e-4,51.4958115
VICTORIA DP UPP,-0.001244545,51.4966202
VICTORIA DK ENT,0.013298392,51.5048409
VOPAK LONDON   ,0.268821716,51.4627914
VOPAK LONDON 1 ,0.267049879,51.4634705
VOPAK LONDON 2 ,0.270147324,51.462059000000004
VOPAK LONDON 3 ,0.268884063,51.4627151
WALBROOK DOCK  ,-0.092273973,51.5094986
WARDS WHF      ,0.038029514,51.4997787
WASHER WHF     ,0.726197362,51.4129105
WELBECK WHF    ,0.092268482,51.5263405
WHITSTABLE HARB,1.02640629,51.3628387
WHITE MOUNTAIN ,0.143080056,51.5154419
WEST INDIA DOCK,-0.008586395,51.501297
WATERLOO PR    ,-0.120468736,51.5034294
WOOLWICH FERRY ,0.062484741,51.4951935
WEST ST PIER   ,0.368288755,51.445816
W. THURROCK JTY,0.291285843,51.4673157
